displayName,salary,teamAbbreviation
Dak Prescott,10800,DAL
Tony Pollard,10400,DAL
Davante Adams,10200,LV
Jimmy Garoppolo,9600,LV
CeeDee Lamb,8800,DAL
Josh Jacobs,7600,LV
Brandin Cooks,7400,DAL
Michael Gallup,6800,DAL
Jakobi Meyers,6200,LV
Cooper Rush,6000,DAL
Aidan O'Connell,6000,LV
Trey Lance,6000,DAL
Brian Hoyer,6000,LV
Jake Ferguson,5800,DAL
Michael Mayer,5400,LV
Hunter Renfrow,5000,LV
Brandon Aubrey,4200,DAL
Daniel Carlson,4000,LV
Cowboys,3800,DAL
Raiders,3600,LV
Austin Hooper,2600,LV
Luke Schoonmaker,2200,DAL
Hunter Luepke,1600,DAL
Jakob Johnson,1400,LV
Tre Tucker,1000,LV
DeAndre Carter,1000,LV
KaVontae Turpin,1000,DAL
Jalen Tolbert,1000,DAL
Jesper Horsted,1000,LV
Deuce Vaughn,1000,DAL
Ameer Abdullah,1000,LV
Peyton Hendershot,1000,DAL
Zamir White,1000,LV
Rico Dowdle,1000,DAL
Sean McKeon,1000,DAL
Brittain Brown,1000,LV
Jalen Brooks,1000,DAL
Austin Walter,1000,LV
Brandon Bolden,1000,LV
