displayName,salary,teamAbbreviation
Cooper Kupp,11200,LAR
Patrick Mahomes,10800,KC
Travis Kelce,10000,KC
Matthew Stafford,9800,LAR
Marquez Valdes-Scantling,8200,KC
Kyren Williams,7400,LAR
Tutu Atwell,7200,LAR
Isiah Pacheco,6600,KC
Kadarius Toney,6200,KC
Blaine Gabbert,6000,KC
Stetson Bennett,6000,LAR
Carson Wentz,6000,LAR
Rashee Rice,5800,KC
Puka Nacua,5600,LAR
Tyler Higbee,5200,LAR
Jerick McKinnon,5000,KC
Harrison Butker,4200,KC
Lucas Havrisik,4000,LAR
Chiefs,3800,KC
Rams,3600,LAR
Noah Gray,2000,KC
Darrell Henderson Jr.,1800,LAR
Ben Skowronek,1600,LAR
Mecole Hardman,1400,KC
Demarcus Robinson,1000,LAR
Justyn Ross,1000,KC
Zach Evans,1000,LAR
Justin Watson,1000,KC
Skyy Moore,1000,KC
Richie James Jr.,1000,KC
Hunter Long,1000,LAR
Clyde Edwards-Helaire,1000,KC
Royce Freeman,1000,LAR
Davis Allen,1000,LAR
James Winchester,1000,KC
Brycen Hopkins,1000,LAR
Jody Fortson,1000,KC
Ronnie Rivers,1000,LAR
Blake Bell,1000,KC
Austin Trammell,1000,LAR
