displayName,salary,teamAbbreviation
Elvis Merzlikins,10400,CBJ
Zach Werenski,10200,CBJ
Daniil Tarasov,10200,CBJ
MacKenzie Blackwood,10000,SJS
Vitek Vanecek,9800,SJS
Mikael Granlund,9600,SJS
Sean Monahan,9200,CBJ
Kirill Marchenko,9000,CBJ
Yegor Chinakhov,8800,CBJ
Boone Jenner,8600,CBJ
Jake Walman,8400,SJS
Tyler Toffoli,8200,SJS
Adam Fantilli,7800,CBJ
William Eklund,7600,SJS
Cole Sillinger,7400,CBJ
Logan Couture,7200,SJS
Fabian Zetterlund,7000,SJS
Ivan Provorov,6800,CBJ
Damon Severson,6600,CBJ
Kent Johnson,6400,CBJ
Mario Ferraro,6200,SJS
Macklin Celebrini,6000,SJS
Justin Danforth,5800,CBJ
Jack Thompson,5400,SJS
Dmitri Voronkov,5200,CBJ
Alexander Wennberg,5000,SJS
Jake Christiansen,4800,CBJ
Cody Ceci,4400,SJS
Luke Kunin,4200,SJS
Will Smith,4000,SJS
Marc-Edouard Vlasic,3800,SJS
Timothy Liljegren,3600,SJS
Erik Gudbranson,3400,CBJ
Jan Rutta,3200,SJS
Mathieu Olivier,3000,CBJ
Jordan Harris,2800,CBJ
Klim Kostin,2600,SJS
Mikael Pyyhtia,2400,CBJ
Gavin Brindley,2200,CBJ
David Jiricek,2000,CBJ
Danil Gushchin,2000,SJS
Jack Johnson,2000,CBJ
Henry Thrun,2000,SJS
Barclay Goodrow,2000,SJS
Ethan Cardwell,2000,SJS
Sean Kuraly,2000,CBJ
James van Riemsdyk,2000,CBJ
Zach Aston-Reese,2000,CBJ
Carl Grundstrom,2000,SJS
Kevin Labanc,2000,CBJ
Nico Sturm,2000,SJS
Givani Smith,2000,SJS
Jordan Dumais,2000,CBJ
Lucas Carlsson,2000,SJS
Igor Chernyshov,2000,SJS
Ty Dellandrea,2000,SJS
Cayden Lindstrom,2000,CBJ
