displayName,salary,teamAbbreviation
Connor McDavid,9500,EDM
Jack Eichel,8500,VGK
Filip Forsberg,8400,NSH
Leon Draisaitl,8200,EDM
Connor Bedard,8000,CHI
Alex Lyon,8000,DET
Cam Talbot,8000,DET
Roman Josi,7900,NSH
Stuart Skinner,7900,EDM
Calvin Pickard,7900,EDM
Charlie Lindgren,7800,WSH
Logan Thompson,7800,WSH
Juuse Saros,7600,NSH
Scott Wedgewood,7600,NSH
Adin Hill,7500,VGK
Ilya Samsonov,7500,VGK
Petr Mrazek,7400,CHI
Arvid Soderblom,7400,CHI
Mark Stone,7300,VGK
Akira Schmid,7300,VGK
Robin Lehner,7300,VGK
Laurent Brossoit,7200,CHI
Alex Ovechkin,6900,WSH
Zach Hyman,6800,EDM
Dylan Strome,6700,WSH
John Carlson,6500,WSH
Ville Husso,6500,DET
Dylan Larkin,6300,DET
Evan Bouchard,6300,EDM
Alex DeBrincat,6100,DET
Tom Wilson,6000,WSH
Seth Jones,6000,CHI
Steven Stamkos,5800,NSH
Shea Theodore,5800,VGK
Alex Pietrangelo,5700,VGK
Moritz Seider,5600,DET
Tomas Hertl,5500,VGK
Jonathan Marchessault,5500,NSH
William Karlsson,5300,VGK
Ivan Barbashev,5300,VGK
Mattias Ekholm,5200,EDM
Ryan O'Reilly,5000,NSH
Teuvo Teravainen,5000,CHI
Jakob Chychrun,5000,WSH
Ryan Nugent-Hopkins,4800,EDM
Pavel Dorofeyev,4800,VGK
Patrick Kane,4700,DET
Noah Hanifin,4700,VGK
Pierre-Luc Dubois,4500,WSH
Connor McMichael,4500,WSH
Lucas Raymond,4400,DET
Darnell Nurse,4400,EDM
Jeff Skinner,4300,EDM
Viktor Arvidsson,4200,EDM
Brady Skjei,4200,NSH
Nick Foligno,4000,CHI
Evander Kane,4000,EDM
Alec Martinez,4000,CHI
Aliaksei Protas,3900,WSH
Trevor van Riemsdyk,3900,WSH
J.T. Compher,3800,DET
Tyler Bertuzzi,3800,CHI
Simon Edvinsson,3800,DET
Gustav Nyquist,3700,NSH
Matt Roy,3700,WSH
Lukas Reichel,3600,CHI
Victor Olofsson,3600,VGK
Brayden McNabb,3600,VGK
Taylor Hall,3500,CHI
Alex Vlasic,3500,CHI
Philipp Kurashev,3400,CHI
Brett Howden,3300,VGK
Connor Murphy,3300,CHI
Nic Dowd,3200,WSH
Vladimir Tarasenko,3200,DET
Martin Fehervary,3200,WSH
Rasmus Sandin,3200,WSH
Tommy Novak,3100,NSH
Ryan Donato,3100,CHI
Ben Chiarot,3100,DET
Brett Kulak,3100,EDM
Adam Henrique,3000,EDM
Andrew Mangiapane,3000,WSH
Vasily Podkolzin,3000,EDM
Nicolas Hague,3000,VGK
Alexandre Carrier,3000,NSH
Nicolas Roy,2900,VGK
Luke Evangelista,2900,NSH
Craig Smith,2900,CHI
Erik Gustafsson,2900,DET
Zach Whitecloud,2900,VGK
Noah Philp,2800,EDM
Jakub Vrana,2800,WSH
Tanner Pearson,2800,VGK
Andrew Copp,2800,DET
Dante Fabbro,2800,NSH
Jeff Petry,2800,DET
Juuso Parssinen,2700,NSH
Drake Caggiula,2700,EDM
Alexander Holtz,2700,VGK
Wyatt Kaiser,2700,CHI
Alex Alexeyev,2700,WSH
Colton Sissons,2600,NSH
Michael Rasmussen,2600,DET
Taylor Raddysh,2600,WSH
Keegan Kolesar,2600,VGK
Isaak Phillips,2600,CHI
Kaedan Korczak,2600,VGK
Marc Del Gaizo,2600,NSH
Marco Kasper,2500,DET
Jason Dickinson,2500,CHI
Andreas Athanasiou,2500,CHI
Hendrix Lapierre,2500,WSH
Nicklas Backstrom,2500,WSH
Mike Sgarbossa,2500,WSH
Jakub Demek,2500,VGK
Jordan Gustafson,2500,VGK
Carl Berglund,2500,EDM
Michael McCarron,2500,NSH
Austin Roest,2500,NSH
Joe Veleno,2500,DET
Ilya Mikheyev,2500,CHI
Pat Maroon,2500,CHI
Joey Anderson,2500,CHI
Sonny Milano,2500,WSH
Brandon Duhaime,2500,WSH
T.J. Oshie,2500,WSH
Cole Schwindt,2500,VGK
Brendan Brisson,2500,VGK
Connor Brown,2500,EDM
Mattias Janmark,2500,EDM
Corey Perry,2500,EDM
Derek Ryan,2500,EDM
Brady Stonehouse,2500,EDM
Mark Jankowski,2500,NSH
Cole Smith,2500,NSH
Zachary L'Heureux,2500,NSH
Philip Tomasino,2500,NSH
Jonatan Berggren,2500,DET
Christian Fischer,2500,DET
Tim Gettinger,2500,DET
Tyler Motte,2500,DET
Nolan Allan,2500,CHI
T.J. Brodie,2500,CHI
Dylan McIlrath,2500,WSH
Vincent Iorio,2500,WSH
Ben Hutton,2500,VGK
Lukas Cormier,2500,VGK
Troy Stecher,2500,EDM
Ty Emberson,2500,EDM
Travis Dermott,2500,EDM
Jeremy Lauzon,2500,NSH
Luke Schenn,2500,NSH
Spencer Stastney,2500,NSH
Albert Johansson,2500,DET
Justin Holl,2500,DET
