displayName,salary,teamAbbreviation
Ashton Jeanty,12900,BSU
Jalen Milroe,10000,BAMA
Ty Simpson,9800,BAMA
RJ Harvey,9800,UCF
Desmond Reid,9700,PITT
Cam Skattebo,9700,ASU
Dylan Sampson,9600,TENN
Garrett Nussmeier,8900,LSU
Eli Holstein,8800,PITT
AJ Swann,8700,LSU
Riley Leonard,8700,ND
Josh Hoover,8600,TCU
Nate Yarnell,8500,PITT
Steve Angeli,8500,ND
Ken Seals,8300,TCU
Ollie Gordon II,8200,OKST
Brendon Lewis,7800,NEV
Jack Bech,7700,TCU
Kyren Lacy,7700,LSU
Chubba Purdy,7600,NEV
Sam Leavitt,7300,ASU
Jeff Sims,7100,ASU
Maddux Madsen,7000,BSU
Dylan Rizk,7000,UCF
Jacurri Brown,7000,UCF
KJ Jefferson,7000,UCF
Alan Bowman,6800,OKST
Malachi Nelson,6800,BSU
Tyler Warren,6800,PSU
Ryan Williams,6800,BAMA
Brennan Presley,6700,OKST
Denzel Boston,6700,UW
Garret Rangel,6600,OKST
Drew Allar,6500,PSU
Nico Iamaleava,6500,TENN
Nicholas Singleton,6500,PSU
Malachi Fields,6500,UVA
Beau Pribula,6300,PSU
Gaston Moore,6200,TENN
Jonah Coleman,6200,UW
Anthony Colandrea,6100,UVA
De'Zhaun Stribling,6100,OKST
Jeremiyah Love,6000,ND
Grady Brosterhous,5900,UVA
Michael Van Buren Jr.,5900,MSST
Caden Durham,5800,LSU
Savion Williams,5800,TCU
Chris Parson,5700,MSST
Savion Red,5500,NEV
Kevin Coleman Jr.,5500,MSST
Cameron Camper,5500,BSU
Konata Mumpfield,5400,PITT
Will Rogers,5200,UW
Aaron Anderson,5200,LSU
Sire Gaines,5100,BSU
Jaden Smith,5100,NEV
Giles Jackson,5100,UW
Demond Williams Jr.,5000,UW
Trell Harris,5000,UVA
Rashod Owens,5000,OKST
Jordyn Tyson,4900,ASU
Jam Miller,4800,BAMA
Chas Nimrod,4700,TENN
Brock Glenn,4600,FSU
