displayName,salary,teamAbbreviation
Harold Fannin Jr.,8000,BGSU
Kadin Semonza,7000,BALL
Tyler Jefferson,6900,CMU
Bert Emanuel Jr.,6900,CMU
Joe Labas,6900,CMU
Colin Blazek,6800,BALL
Connor Bazelak,6700,BGSU
Lucian Anderson III,6500,BGSU
Brett Gabbert,6400,MIAOH
Henry Hesson,6200,MIAOH
Tanner Koziol,6100,BALL
Braedon Sloan,5900,BALL
Marion Lukes,5600,CMU
Qian Magwood,5500,BALL
Cade McDonald,5400,MIAOH
Terion Stewart,5300,BGSU
Chris Parker,5000,CMU
Evan Boyd,4900,CMU
Jaison Patterson,4800,BGSU
Solomon Davis,4800,CMU
Keyon Mozee,4700,MIAOH
Jamal Johnson,4600,BGSU
Aidan Leffler,4500,BALL
Chase Harrison,4500,BALL
Bodie Derrer,4500,BALL
Camden Orth,4500,BGSU
Baron May,4500,BGSU
Jonny Sorensen,4500,BGSU
Jadyn Glasser,4500,CMU
Logan Borodychuk,4500,CMU
Ethan Lane,4500,CMU
Maddox Kopp,4500,MIAOH
Thomas Gotkowski,4500,MIAOH
Matt MacLeod,4500,MIAOH
B.J. Harris,4500,CMU
Cam Pickett,4500,BALL
Kevin Davis,4400,MIAOH
Justin Bowick,4400,BALL
Vaughn Pemberton,4300,BALL
Malcolm Johnson Jr.,4300,BGSU
Dylan Downing,4200,MIAOH
Tyson Davis,4200,CMU
Reggie Virgil,4100,MIAOH
Myles Bailey,4000,CMU
Javon Tracy,4000,MIAOH
Jordan Brunson,3900,MIAOH
Malcolm Gillie,3900,BALL
Finn Hogan,3800,BGSU
Justin Pegues,3600,BGSU
Jesse Prewitt III,3600,CMU
Dahya Patel,3500,BALL
Jordyn Williams,3400,CMU
Jack Coldiron,3400,MIAOH
Andre Johnson,3400,MIAOH
Gavin Harris,3300,CMU
Levi Gazarek,3200,BGSU
Rahkeem Smith,3200,BGSU
Christian Davis,3000,BALL
Charlie Spegal,3000,BALL
TJ Horton,3000,BALL
Maximus Webster,3000,BALL
Cody Mikulich,3000,BALL
Jalen Alexander,3000,BALL
Ayden Ewing,3000,BALL
Nakai Amachree,3000,BGSU
PaSean Wimberly,3000,BGSU
Jaden Copening,3000,BGSU
Bryce DeFalco,3000,BGSU
Cameron Pettaway,3000,BGSU
Mar'Kel Porter,3000,BGSU
Nahree Biggins,3000,CMU
Brock Townsend,3000,CMU
Jakivion Calip,3000,CMU
Kadenn Rose,3000,CMU
Germanuel Tanelus,3000,CMU
Jason Philpot-Dixon,3000,CMU
Mekhi Jenkins,3000,CMU
Nate Milanowski,3000,MIAOH
Tito Glass Jr.,3000,MIAOH
Kenny Tracy,3000,MIAOH
Josh Ringer,3000,MIAOH
Danny Dunlop,3000,MIAOH
D'Shawntae Jones,3000,MIAOH
Christian Abney,3000,BALL
Tyce Ferrell,3000,BALL
Preston Ross,3000,BALL
Max Sullivan,3000,BALL
Lane King,3000,BALL
Kameron Anthony,3000,BALL
Leo Collins,3000,BALL
Jeffrey Simmons,3000,BALL
Nick Munson,3000,BALL
Trey Firestone,3000,BALL
Nick Presley,3000,BALL
R.J. Mukes III,3000,BALL
Ty Robinson,3000,BALL
Isaiah Thacker,3000,BALL
Ty Curran,3000,BALL
Jamarion McDougle,3000,BALL
Eli Hohlt,3000,BALL
Carson Neu,3000,BALL
Elijah Boyd,3000,BGSU
Jacob Harris,3000,BGSU
Ian Drummond,3000,BGSU
Isaac Hill,3000,BGSU
Ocean Brabbs,3000,BGSU
Eli Jacon-Duffy,3000,BGSU
Caden Campbell,3000,BGSU
Blane Cleaver,3000,BGSU
RJ Garcia II,3000,BGSU
Dom Grguric,3000,BGSU
Trey Johnson,3000,BGSU
Shawn Thigpen,3000,BGSU
Cynceir McNeal,3000,BGSU
Winn Sharp,3000,BGSU
Pierce St Geme,3000,BGSU
Jared Merk,3000,BGSU
Caleb Goodloe,3000,BGSU
DeCorion Temple,3000,CMU
Nathan VanTimmeren,3000,CMU
Jacob Kaminski,3000,CMU
Alec Palella,3000,CMU
Travis Ambrose,3000,CMU
Rory Callahan,3000,CMU
Tommy McIntosh,3000,CMU
Langston Lewis,3000,CMU
Miles Shannon,3000,CMU
Nasir Williams,3000,CMU
Josiah Booker,3000,CMU
Stephan Bracey Jr.,3000,CMU
Braeden Tillman-Jones,3000,CMU
Tayte Vanderleest,3000,CMU
Jordan Kelly,3000,CMU
Camden Kruisenga,3000,CMU
Connor Briggs,3000,MIAOH
Preston Daniel,3000,MIAOH
Brian Shane,3000,MIAOH
Zach Meeks,3000,MIAOH
Hunter Teal,3000,MIAOH
Vaughn Johnson,3000,MIAOH
Chase Becker,3000,MIAOH
Kam Perry,3000,MIAOH
Cole Weaver,3000,MIAOH
Ryan Sims,3000,MIAOH
Lynel Billups-Williams,3000,MIAOH
Michael Parrish,3000,MIAOH
Tommy Gallagher,3000,MIAOH
Christian Schomer,3000,MIAOH
Jackson Izzard,3000,MIAOH
Braylon Isom,3000,MIAOH
