displayName,salary,teamAbbreviation
Cam Ward,10600,MIA
Emory Williams,10400,MIA
Jaxson Dart,9600,MISS
Bryson Daily,9500,ARMY
Travis Hunter,9500,COL
Austin Simmons,9400,MISS
Chandler Morris,9400,UNT
Cade Klubnik,9300,CLEM
Dewayne Coleman,9300,ARMY
Tre Harris,9300,MISS
Cash McCollum,9200,UNT
Christopher Vizzina,9100,CLEM
Kyle McCord,9000,SYR
Shedeur Sanders,8900,COL
Michael Johnson Jr.,8800,SYR
Darius Taylor,8700,MINN
Ryan Staub,8600,COL
Haynes King,8500,GT
Quinn Ewers,8500,UT
Arch Manning,8500,UT
Tahj Brooks,8400,TTU
Zach Pyron,8300,GT
Bhayshul Tuten,8300,VT
Will Howard,8100,OSU
LeQuint Allen,8100,SYR
Devin Brown,7900,OSU
Brendan Sorsby,7900,CINCY
DT Sheffield,7900,UNT
Brady Lichtenberg,7700,CINCY
Kyron Drones,7500,VT
Carson Beck,7500,UGA
Quinshon Judkins,7500,OSU
Xavier Restrepo,7500,MIA
Kurtis Rourke,7400,IU
Kyle Monangai,7400,RU
Collin Schlee,7300,VT
Gunner Stockton,7300,UGA
Tayven Jackson,7200,IU
Jayden Higgins,7100,ISU
Jeremiah Smith,7100,OSU
Garrett Greene,7000,WVU
Rocco Becht,6900,ISU
Nicco Marchiol,6800,WVU
Jackson Crist,6800,WVU
TreVeyon Henderson,6800,OSU
JJ Kohl,6700,ISU
Devin Neal,6700,KU
Xzavier Henderson,6700,CINCY
Thomas Castellanos,6600,BC
Emeka Egbuka,6600,OSU
Phil Mafah,6500,CLEM
Trevor Etienne,6500,UGA
Grayson James,6400,BC
Damien Martinez,6100,MIA
Trebor Pena,6100,SYR
Jaylin Noel,6100,ISU
Max Brosmer,6000,MINN
Behren Morton,6000,TTU
Jamal Haynes,6000,GT
Josh Kelly,6000,TTU
Henry Parrish Jr.,5900,MISS
Kanye Udoh,5900,ARMY
Corey Kiner,5900,CINCY
Jalon Daniels,5800,KU
Drake Lindsey,5800,MINN
Will Hammond,5800,TTU
Cameran Brown,5800,TTU
Jackson Meeks,5700,SYR
Cole Ballard,5600,KU
Antonio Williams,5600,CLEM
Roderick Robinson II,5500,UGA
Luke Grimm,5500,KU
Daniel Jackson,3000,ISU
Jaydon Blue,5400,UT
Athan Kaliakmanis,5300,RU
Noah Short,5300,ARMY
Justus Ross-Simmons,5300,SYR
Justice Ellison,5200,IU
Isaiah Horton,5200,MIA
Jaylin Lane,5200,VT
LaJohntay Wester,5200,COL
Elijah Sarratt,5200,IU
Eugene Wilson III,5200,UF
Damon Ward Jr.,5200,UNT
Ajani Sheppard,5100,RU
Hudson Card,5100,PUR
Lewis Bond,5100,BC
Branson Robinson,5000,UGA
Logan Diggs,5000,MISS
Quintrevion Wisner,5000,UT
Oronde Gadsden II,5000,SYR
Omarion Miller,5000,COL
Arian Smith,5000,UGA
Ryan Browne,4900,PUR
Davis Warren,4800,MICH
DJ Lagway,4800,UF
Malik Rutherford,4800,GT
Colston Loveland,4800,MICH
Dillon Bell,4800,UGA
Isaiah Bond,4800,UT
Treshaun Ward,4700,BC
Eric Singleton Jr.,4700,GT
Dominic Lovett,4700,UGA
Jordan Watkins,4700,MISS
Alex Orji,4600,MICH
Aidan Warner,4600,UF
Clay Millen,4600,UF
Graham Mertz,4600,UF
Jahiem White,4600,WVU
Kalel Mullings,4600,MICH
Jack Bjorn,4600,ISU
Caleb Douglas,4600,TTU
Ethan Anderson,4500,CLEM
Trent Pearman,4500,CLEM
Paul Tyson,4500,CLEM
Aaron Philo,4500,GT
Graham Knowles,4500,GT
Ben Guthrie,4500,GT
Brody Rhodes,4500,GT
Jacobe Robinson,4500,BC
Johnathan Montague Jr.,4500,BC
Jack Brandon,4500,BC
Peter Delaportas,4500,BC
Shane Hanafin,4500,BC
Reese Poffenbarger,4500,MIA
Judd Anderson,4500,MIA
Nikao Smith,4500,MIA
Riply Luna,4500,MIA
Joao Arede,4500,MIA
Joe Borchers,4500,MIA
AJ Surace,4500,RU
Colin O'Sullivan,4500,RU
Rocco Rainone,4500,RU
Carlos Del Rio-Wilson,4500,SYR
AJ Miller,4500,SYR
Patrick Grusser,4500,SYR
Jakhari Williams,4500,SYR
William Watson III,4500,VT
Jackson Sigler,4500,VT
Ben Locklear,4500,VT
Davi Belfort,4500,VT
Scott Kean,4500,WVU
Ryder Burton,4500,WVU
Abe Fenwick,4500,WVU
Khalil Wilkins,4500,WVU
Dominiq Ponder,4500,COL
Destin Wade,4500,COL
Walter Taylor III,4500,COL
Colton Allen,4500,COL
Connor Moberly,4500,ISU
Tanner Hughes,4500,ISU
Wyatt Bohm,4500,ISU
Major Cantrell,4500,ISU
Ben Easters,4500,KU
Mikey Pauley,4500,KU
Isaiah Marshall,4500,KU
TJ Crews IV,4500,KU
Tyler Cherry,4500,IU
Roman Purcell,4500,IU
Alberto Mendoza,4500,IU
Jayden Denegal,4500,MICH
Anthony Arnou,4500,MICH
Jack Tuttle,4500,MICH
Jadyn Davis,4500,MICH
Dylan Wittke,4500,MINN
Max Shikenjanski,4500,MINN
Jeremiah Finaly,4500,MINN
Julian Sayin,4500,OSU
Lincoln Kienholz,4500,OSU
Mason Maggs,4500,OSU
Air Noland,4500,OSU
Chad Ray,4500,OSU
Bennett Meredith,4500,PUR
Christian Gelov,4500,PUR
Jake Wilson,4500,PUR
Marcos Davila,4500,PUR
Carson Kitchel,4500,PUR
Aaron Williams,4500,UF
Paul Kessler,4500,UF
Lawrence Wright IV,4500,UF
Jaden Rashada,4500,UGA
Ryan Puglisi,4500,UGA
Collin Drake,4500,UGA
Sam Bush,4500,UGA
Colter Ginn,4500,UGA
Walker Howard,4500,MISS
Justin Kowalak,4500,MISS
Braden Waterman,4500,MISS
AJ Maddox,4500,MISS
Cole Lourd,4500,UT
Trey Owens,4500,UT
Joe Tatum,4500,UT
Jake Strong,4500,TTU
Cale Hellums,4500,ARMY
Zach Mundell,4500,ARMY
Mitch Bolden,4500,ARMY
Nehemiah Vann,4500,ARMY
