displayName,salary,teamAbbreviation
Parker Navarro,8000,OHIO
Nick Poulos,7800,OHIO
Coleman Owen,7200,OHIO
Chrishon McCray,6900,KENT
Jaden Nixon,6700,WMU
Antario Brown,6500,NIU
Tommy Ulatowski,6200,KENT
Eamonn Dennis,6200,OHIO
Ethan Hampton,6000,NIU
Jett Hilding,6000,KENT
Jaylen Poe,6000,NIU
Josh Holst,5800,NIU
Hayden Wolff,5800,WMU
Anthony Tyus III,5800,OHIO
Broc Lowry,5600,WMU
Trayvon Rudolph,5600,NIU
Chase Hendricks,5500,OHIO
Ky Thomas,5400,KENT
Anthony Sambucci,5400,WMU
Gavin Garcia,5300,KENT
Luke Floriea,5300,KENT
Kenneth Womack,5200,WMU
Gavin Williams,5100,NIU
Malique Dieudonne,5100,WMU
Rickey Hunt Jr.,5000,OHIO
Andrew McElroy,5000,NIU
Jalen Buckley,4900,WMU
Rodney Harris II,4900,OHIO
Cam Thompson,4800,NIU
Justin Lynch,4700,NIU
Curtis Douglas,4600,KENT
Blake Guffey,4600,OHIO
Jalen Macon,4500,NIU
Kenny Lueth,4500,NIU
Luke Marble,4500,NIU
Ruel Tomlinson,4500,KENT
Devin Kargman,4500,KENT
JD Sherrod,4500,KENT
Dru DeShields,4500,KENT
Callum Wither,4500,OHIO
Jacob Winters,4500,OHIO
Matthew Papas,4500,OHIO
JD Davis II,4500,WMU
Mark Konecny,4500,WMU
Mason Reynolds,4500,WMU
Blake Bosma,4500,WMU
Dane Pardridge,4400,NIU
Brock Lampe,4300,NIU
Jay Jay Etheridge,4300,KENT
Zahir Abdus-Salaam,4200,WMU
Stanley King,4200,KENT
Ardell Banks,4100,KENT
Chris Toudle,4000,WMU
Tre' Hartwell,3900,WMU
Kaevion Mack,3900,WMU
Nolan McCormick,3800,OHIO
Grayson Barnes,3800,NIU
Keshawn King,3700,WMU
Conner Muldowney,3700,KENT
Ryan McDole,3700,OHIO
Devaughn Mortimer,3700,WMU
Kaden Hurst,3600,OHIO
Mareyohn Hrabowski,3600,WMU
Brennan Wooten,3500,WMU
Jordin Parker,3500,WMU
Charlie Skehan,3400,KENT
Eian Pugh,3400,OHIO
George Dimopoulos,3300,NIU
Mason Williams,3300,OHIO
Dashawn Martin,3200,KENT
Tristen Tewes,3100,NIU
Keyshaun Pipkin,3100,NIU
Jake Bruno,3100,OHIO
Willie Berris,3100,WMU
Garrett Gensler,3000,NIU
Telly Johnson Jr.,3000,NIU
Elijah Porter,3000,NIU
Ahmir Smith,3000,NIU
Romelo Ware,3000,NIU
Ayden Harris,3000,KENT
Jordan Lowe,3000,KENT
Marques Hicks,3000,KENT
Micquan Gravely,3000,KENT
Cade Wolford,3000,KENT
Noah Earley,3000,KENT
Duncan Brune,3000,OHIO
Aginon Wilson Jr.,3000,OHIO
Devon Hunter,3000,OHIO
Jamal Hailey,3000,WMU
Jake Appleget,3000,NIU
Chris Carter,3000,NIU
Devon Akers,3000,NIU
Chase Schutty,3000,NIU
Joe Stein,3000,NIU
Jason Fowler,3000,NIU
Jalen Johnson,3000,NIU
Kenji Lewis,3000,NIU
Kyle Thomas,3000,NIU
Rickey Taylor Jr.,3000,NIU
Christopher Gore,3000,NIU
La'Don Bryant,3000,NIU
Jamari McIvory,3000,NIU
Peyton Faulkner,3000,KENT
Hunter Hopperton,3000,KENT
Mohammed Hazime,3000,KENT
Dakota Taylor,3000,KENT
Will Hook,3000,KENT
Aaron Hopkins,3000,KENT
J.B. Awolowo,3000,KENT
Ali Fisher,3000,KENT
Sebastian Brown,3000,KENT
Jared Kelley,3000,KENT
Wayne Harris,3000,KENT
Dash Dorsey,3000,KENT
Preston Hopperton,3000,KENT
Jahzae Kimbrough,3000,KENT
Joseph Federer,3000,KENT
Bryce Butler,3000,OHIO
Beau Blankenship,3000,OHIO
Nick Segarra,3000,OHIO
AJ Miller,3000,OHIO
Aiden Lowery,3000,OHIO
Caleb Gossett,3000,OHIO
Max Rodarte,3000,OHIO
Dom Dorwart,3000,OHIO
Matthew Stuewe,3000,OHIO
Jack Borer,3000,OHIO
Hunter Thompson,3000,OHIO
Miles Cremascoli,3000,OHIO
Riley Neer,3000,OHIO
Khamani Debrow,3000,OHIO
Delaney Crawford,3000,OHIO
Kadinn Morris,3000,WMU
Will Gerig,3000,WMU
Ryan Brotherton,3000,WMU
Nathan Sines,3000,WMU
Tony Martin,3000,WMU
Cam Hedgecock,3000,WMU
Najiib Anderson,3000,WMU
JR Hays,3000,WMU
Terence Marshall,3000,WMU
Davis Barr,3000,WMU
Jayquan Reid,3000,WMU
