displayName,salary,teamAbbreviation
Kaleb Johnson,10400,IOWA
Devon Dampier,9900,UNM
Isaiah Chavez,9700,UNM
Mario Anderson Jr.,9400,MEM
Seth Henigan,8400,MEM
Harris Boyd,8200,MEM
Marquez Cooper,8000,SDSU
Dean Connors,7300,RICE
Jaydn Ott,7100,CAL
Luke Wysong,7000,UNM
Demond Claiborne,6900,WAKE
Fernando Mendoza,6400,CAL
Roc Taylor,6300,MEM
Chandler Rogers,6200,CAL
E.J. Warner,6200,RICE
Drew Devillier,6000,RICE
AJ Padgett,6000,RICE
Demeer Blankumsee,6000,MEM
Hank Bachmeier,5800,WAKE
Jaivian Thomas,5800,CAL
Ethan Garbers,5700,UCLA
Eli Sanders,5700,UNM
Michael Kern,5600,WAKE
Justyn Martin,5500,UCLA
Louis Brown IV,5400,SDSU
Danny O'Neil,5300,SDSU
Jordan Napier,5300,SDSU
Matt Sykes,5200,RICE
Javance Tupou'ata-Johnson,5100,SDSU
AJ Duffy,5100,SDSU
Ryan Davis,5100,UNM
Brendan Sullivan,5000,IOWA
Cade McNamara,5000,IOWA
Ja'Shaun Poke,5000,SDSU
Donavon Greene,4900,WAKE
Jack Endries,4800,CAL
Taylor Morin,4700,WAKE
Nyziah Hunter,4600,CAL
Jeremy Hecklinski,4500,WAKE
Tyler Mizzell,4500,WAKE
Charlie Gilliam,4500,WAKE
Nick Rubino,4500,WAKE
Marco Lainez,4500,IOWA
Jackson Stratton,4500,IOWA
James Resar,4500,IOWA
CJ Harris,4500,CAL
EJ Caminong,4500,CAL
Belay Brummel,4500,CAL
Andrew Maushardt,4500,CAL
Nick Billoups,4500,UCLA
Chase Griffin,4500,UCLA
Dermaricus Davis,4500,UCLA
Luke Duncan,4500,UCLA
Karson Gordon,4500,UCLA
Henry Hasselbeck,4500,UCLA
Shawqi Itraish,4500,RICE
James Laubstein,4500,UNM
Emery Floyd,4500,UNM
Ryan Cook,4500,UNM
Justin Holaday,4500,UNM
Kyle Crum,4500,SDSU
Parker Threatt,4500,SDSU
Cade Cunningham,4500,MEM
Matt Dean,4500,MEM
Arrington Maiden,4500,MEM
T.J. Harden,4500,UCLA
Javen Jacobs,4500,UNM
Kyion Grayes,4500,CAL
Brandon Thomas,4400,MEM
Tobias Merriweather,4400,CAL
NaQuari Rogers,4300,UNM
Rico Flores Jr.,4300,UCLA
Kenan Christon,4200,SDSU
Kobie Campbell,4200,RICE
Jaylon Armstead,4100,SDSU
Chase Jenkins,4100,RICE
Greg Desrosiers Jr.,4000,MEM
Kwazi Gilmer,4000,UCLA
Jalen Berger,3900,UCLA
Braylen Walker,3900,RICE
Sol-Jay Maiava-Peters,3800,UNM
Horatio Fields,3800,WAKE
Logan Loya,3800,UCLA
Elijah Mojarro,3800,RICE
Trace Bruckler,3800,UNM
Caleb Medford,3800,UNM
Sutton Smith,3700,MEM
JoVoni Johnson-McCray,3700,RICE
Tate Carney,3600,WAKE
Quinton Jackson,3500,RICE
Jacob Gill,3500,IOWA
Nate Bennett,3500,SDSU
Reece Vander Zee,3400,IOWA
Titus Mokiao-Atimalala,3400,UCLA
Boden Groen,3400,RICE
Landon Ransom-Goelz,3400,RICE
Jude Wolfe,3400,SDSU
Mekhi Shaw,3400,SDSU
Koby Drake,3400,MEM
Keegan Jones,3300,UCLA
Daelen Alexander,3300,RICE
Jarriett Buie,3300,IOWA
Jonathan Brady,3300,CAL
J.Michael Sturdivant,3300,UCLA
Anthony Landphere,3300,MEM
Jaziun Patterson,3200,IOWA
Byron Cardwell Jr.,3200,CAL
Harry Lodge,3200,WAKE
Deuce Alexander,3200,WAKE
Luke Lachey,3200,IOWA
Kaden Wetjen,3200,IOWA
Trond Grizzell,3200,CAL
Mason Starling,3200,CAL
Jyaire Shorter,3200,MEM
Kadarius Calloway,3100,CAL
Michael Frogge,3100,WAKE
Addison Ostrenga,3100,IOWA
Seth Anderson,3100,IOWA
Corey Dyches,3100,CAL
Mikey Matthews,3100,CAL
Moliki Matavao,3100,UCLA
Rawson MacNeill,3100,RICE
Michael Buckley,3100,UNM
Michael Harrison,3100,SDSU
Brendan Doyle,3100,MEM
Ty Clark III,3000,WAKE
David Egbe,3000,WAKE
Kennedy Fauntleroy,3000,WAKE
Drew Pickett,3000,WAKE
Ryan Henley,3000,WAKE
Zach Igwebe,3000,WAKE
Mason Andrade,3000,WAKE
Kamari Moulton,3000,IOWA
Max White,3000,IOWA
Hayden Large,3000,IOWA
Terrell Washington Jr.,3000,IOWA
Brevin Doll,3000,IOWA
Grant Glausser,3000,IOWA
Eli Miller,3000,IOWA
Xavier Williams,3000,IOWA
Rusty VanWetzinga,3000,IOWA
Justin Williams-Thomas,3000,CAL
Dean-Taylor Chapman,3000,CAL
Jayden Parker,3000,CAL
Jamaal Wiley,3000,CAL
Anthony Adkins,3000,UCLA
Leo Kemp,3000,UCLA
Anthony Frias II,3000,UCLA
Deshun Murrell,3000,UCLA
Troy Leigber,3000,UCLA
Isaiah Carlson,3000,UCLA
Peter Bario,3000,UCLA
Cameron Jones,3000,UCLA
Taji Atkins,3000,RICE
Christian Francisco,3000,RICE
Coleman Bennett,3000,RICE
Geron Hargon,3000,RICE
Micah Barnett,3000,RICE
Larry DeBose IV,3000,RICE
Colin Giffen,3000,RICE
Michael Amico,3000,RICE
Trei Kibbles,3000,RICE
Andrew Henry,3000,UNM
Jaylen Morgan,3000,UNM
Josh Perry,3000,UNM
Rei Iwai,3000,UNM
Cam Davis,3000,SDSU
Lucky Sutton,3000,SDSU
Nick Gardinera,3000,SDSU
Cincere Rhaney,3000,SDSU
Makari Bodiford,3000,MEM
Mario Robinson Jr.,3000,MEM
Khyair Spain,3000,MEM
Cameron Hite,3000,WAKE
Landen Baker,3000,WAKE
Luca Puccinelli,3000,WAKE
Dominic Deluca,3000,WAKE
Kevin Check,3000,WAKE
Ryan Dupont,3000,WAKE
Micah Mays Jr.,3000,WAKE
Walker Merrill,3000,WAKE
Jaydn Girard,3000,WAKE
EJ Reid,3000,WAKE
Jeremiah Melvin,3000,WAKE
Nick Ragano,3000,WAKE
Christian Greene,3000,WAKE
James Hillhouse,3000,WAKE
Jason Woods,3000,WAKE
Ian VerSteeg,3000,WAKE
Owen Pisa,3000,WAKE
Wesley Stroebel,3000,WAKE
Ben Grice,3000,WAKE
Zach Ortwerth,3000,IOWA
Johnny Pascuzzi,3000,IOWA
Cole Marsh,3000,IOWA
Grant Leeper,3000,IOWA
Jalyn Thompson,3000,IOWA
DJ Vonnahme,3000,IOWA
Michael Burt,3000,IOWA
Kyson Van Vugt,3000,IOWA
Gavin Hoffman,3000,IOWA
Andrew Lentsch,3000,IOWA
Alex Mota,3000,IOWA
Reese Osgood,3000,IOWA
Dayton Howard,3000,IOWA
Alec Wick,3000,IOWA
KJ Parker,3000,IOWA
Alex Eichmann,3000,IOWA
Ayden Price,3000,IOWA
Judah Mallette,3000,IOWA
Graham Friedrichsen,3000,IOWA
Jeffrey Johnson,3000,CAL
Ben Marshall,3000,CAL
J.T. Byrne,3000,CAL
Camden Jones,3000,CAL
Nate Rutchena,3000,CAL
Jordan King,3000,CAL
Mavin Anderson,3000,CAL
Josiah Martin,3000,CAL
Jaiven Plummer,3000,CAL
Cole Boscia,3000,CAL
Isaac Torres,3000,CAL
Carson Perry-Smith,3000,CAL
Trevor Rogers,3000,CAL
Myles Reber,3000,CAL
Jack Pedersen,3000,UCLA
Bryce Pierre,3000,UCLA
Sam Summa,3000,UCLA
Hudson Habermehl,3000,UCLA
Michael Churich,3000,UCLA
Carter Shaw,3000,UCLA
Ezavier Staples,3000,UCLA
Braden Pegan,3000,UCLA
Grant Gray,3000,UCLA
Devanti Dillard,3000,UCLA
Russell Weir,3000,UCLA
Graham Walker,3000,RICE
James Falk,3000,RICE
Ethan Powell,3000,RICE
Rhys Phillips,3000,RICE
Matt Hall,3000,RICE
Jaggar Hebeisen,3000,RICE
Thai Chiaokhiao-Bowman,3000,RICE
Drayden Dickmann,3000,RICE
Tyson Thompson,3000,RICE
Justin Williams Jr.,3000,RICE
