displayName,salary,teamAbbreviation
Joel Embiid,12000,PHI
James Harden,11000,LAC
Tyrese Maxey,10800,PHI
Kawhi Leonard,10200,LAC
Paul George,10000,PHI
Ivica Zubac,9000,LAC
Andre Drummond,8600,PHI
Norman Powell,8400,LAC
Kelly Oubre Jr.,7800,PHI
Caleb Martin,7000,PHI
Derrick Jones Jr.,6000,LAC
Kyle Lowry,5600,PHI
Terance Mann,5000,LAC
Kris Dunn,4800,LAC
Kevin Porter Jr.,4400,LAC
Guerschon Yabusele,4000,PHI
Eric Gordon,3600,PHI
Nicolas Batum,3400,LAC
KJ Martin,3200,PHI
Amir Coffey,3000,LAC
Jared McCain,2600,PHI
Kai Jones,2200,LAC
Reggie Jackson,1000,PHI
Bones Hyland,1000,LAC
Ricky Council IV,1000,PHI
Kobe Brown,1000,LAC
Lester Quinones,1000,PHI
Adem Bona,1000,PHI
Jordan Miller,1000,LAC
Justin Edwards,1000,PHI
Jeff Dowtin,1000,PHI
Cam Christie,1000,LAC
Trentyn Flowers,1000,LAC
Mo Bamba,1000,LAC
P.J. Tucker,1000,LAC
