displayName,salary,teamAbbreviation
Joel Embiid,10600,PHI
Domantas Sabonis,9800,SAC
James Harden,9500,LAC
Tyrese Maxey,9300,PHI
Scottie Barnes,8900,TOR
De'Aaron Fox,8800,SAC
RJ Barrett,8300,TOR
Kawhi Leonard,8100,LAC
Paul George,8000,PHI
Jakob Poeltl,7900,TOR
DeMar DeRozan,7800,SAC
Immanuel Quickley,7600,TOR
Ivica Zubac,7000,LAC
Andre Drummond,6600,PHI
Gradey Dick,6500,TOR
Norman Powell,6400,LAC
Keegan Murray,6300,SAC
Kelly Oubre Jr.,6000,PHI
Kelly Olynyk,5900,TOR
Ochai Agbaji,5800,TOR
Malik Monk,5700,SAC
Caleb Martin,5500,PHI
Davion Mitchell,5300,TOR
Bruce Brown,4900,TOR
Derrick Jones Jr.,4600,LAC
Kyle Lowry,4500,PHI
Kevin Huerter,4400,SAC
Chris Boucher,4300,TOR
Jonathan Mogbo,4200,TOR
Terance Mann,4200,LAC
Kris Dunn,4100,LAC
Kevin Porter Jr.,4000,LAC
Keon Ellis,4000,SAC
Jamal Shead,3900,TOR
Guerschon Yabusele,3800,PHI
Trey Lyles,3700,SAC
Jamison Battle,3600,TOR
Nicolas Batum,3500,LAC
Eric Gordon,3500,PHI
Ja'Kobe Walter,3500,TOR
Amir Coffey,3400,LAC
KJ Martin,3400,PHI
Jared McCain,3300,PHI
Devin Carter,3300,SAC
Kai Jones,3200,LAC
Doug McDermott,3200,SAC
Bruno Fernando,3100,TOR
Cam Christie,3000,LAC
Kobe Brown,3000,LAC
Jordan Miller,3000,LAC
Bones Hyland,3000,LAC
Trentyn Flowers,3000,LAC
P.J. Tucker,3000,LAC
Mo Bamba,3000,LAC
Alex Len,3000,SAC
Isaac Jones,3000,SAC
Mason Jones,3000,SAC
Colby Jones,3000,SAC
Isaiah Crawford,3000,SAC
Jordan McLaughlin,3000,SAC
Orlando Robinson,3000,SAC
Reggie Jackson,3000,PHI
Ricky Council IV,3000,PHI
Jeff Dowtin,3000,PHI
Adem Bona,3000,PHI
Lester Quinones,3000,PHI
Justin Edwards,3000,PHI
Ulrich Chomche,3000,TOR
D.J. Carton,3000,TOR
Garrett Temple,3000,TOR
