displayName,salary,teamAbbreviation
Kylian Mbappé,11600,RMA
Vinícius Júnior,11300,RMA
Erling Haaland,11000,MCI
Phil Foden,10500,MCI
Mohamed Salah,9800,LIV
Brahim Díaz,9400,RMA
Endrick,9200,RMA
Viktor Gyökeres,9000,SCP
Cody Gakpo,8900,LIV
Christian Pulisic,8800,MIL
Serhou Guirassy,8700,BVB
Kevin De Bruyne,8600,MCI
Donyell Malen,8500,BVB
Federico Chiesa,8400,LIV
Rodrygo,8300,RMA
Jude Bellingham,8200,RMA
Folarin Balogun,8100,MCO
Dusan Vlahovic,8000,JUV
Marcus Edwards,8000,SCP
Maghnes Akliouche,7900,MCO
Maximilian Beier,7900,BVB
Florian Wirtz,7800,LEV
Savinho,7800,MCI
Takumi Minamino,7700,MCO
Karim Adeyemi,7700,BVB
Harvey Elliott,7600,LIV
Rafael Leão,7600,MIL
Teun Koopmeiners,7500,JUV
Luis Díaz,7500,LIV
Patrik Schick,7400,LEV
Ilkay Gündogan,7400,MCI
Jérémy Doku,7300,MCI
Xavi Simons,7300,RBL
Aleksandr Golovin,7200,MCO
Arkadiusz Milik,7200,JUV
Julian Brandt,7100,BVB
Tammy Abraham,7100,MIL
Eljif Elmas,7000,RBL
Breel Embolo,7000,MCO
Edon Zhegrova,6900,LIL
Jamie Gittens,6900,BVB
Jack Grealish,6800,MCI
Jonathan David,6800,LIL
James McAtee,6700,MCI
Loïs Openda,6700,RBL
Luka Modric,6600,RMA
Diogo Jota,6600,LIV
Nicolás González,6500,JUV
Lucas Vázquez,6500,RMA
Amine Adli,6400,LEV
Giovanni Reyna,6400,BVB
Luis Palma,6300,CEL
Bernardo Silva,6300,MCI
Benjamin Sesko,6200,RBL
Kostas Tsimikas,6200,LIV
Rodri,6200,MCI
Álvaro Morata,6100,MIL
Álex Grimaldo,6100,LEV
Dani Ceballos,6100,RMA
Jesper Karlsson,6000,BOL
Gregor Kobel,6000,BVB
Trent Alexander-Arnold,6000,LIV
Pascal Groß,6000,BVB
André Silva,5900,RBL
Alexander Meyer,5900,BVB
Marcel Lotka,5900,BVB
Silas Ostrzinski,5900,BVB
Pedro Pote,5900,SCP
David Raum,5900,RBL
Darwin Núñez,5800,LIV
Marcel Sabitzer,5800,BVB
Thibaut Courtois,5800,RMA
Fran García,5800,RMA
Noah Okafor,5700,MIL
Andrii Lunin,5700,RMA
Fran González,5700,RMA
Sergio Mestre,5700,RMA
Lewis Ferguson,5700,BOL
Benjamin Henrichs,5700,RBL
Victor Boniface,5600,LEV
Christoph Baumgartner,5600,RBL
Caoimhín Kelleher,5600,LIV
Dani Carvajal,5600,RMA
Luka Jovic,5500,MIL
Kenan Yildiz,5500,JUV
Matheus Nunes,5500,MCI
Alisson Becker,5500,LIV
Vítezslav Jaros,5500,LIV
Harvey Davies,5500,LIV
Josko Gvardiol,5500,MCI
Yussuf Poulsen,5400,RBL
Samuel Chukwueze,5400,MIL
Paul Pogba,5400,JUV
Stefan Ortega,5400,MCI
Andy Robertson,5400,LIV
Francisco Conceição,5300,JUV
Nicolò Cambiaghi,5300,BOL
Rémy Cabella,5300,LIL
Scott Carson,5300,MCI
Ederson,5300,MCI
Theo Hernández,5300,MIL
Francesco Camarda,5200,MIL
Julien Duranville,5200,BVB
Oscar Bobb,5200,MCI
Antonio Rüdiger,5200,RMA
Martin Terrier,5100,LEV
Dan Ndoye,5100,BOL
Péter Gulácsi,5100,RBL
Antonio Nusa,5100,RBL
Joe Gomez,5100,LIV
Riccardo Orsolini,5000,BOL
Daizen Maeda,5000,CEL
Leopold Zingerle,5000,RBL
Maarten Vandevoordt,5000,RBL
Fernando Dickes,5000,RBL
Khéphren Thuram,5000,JUV
Thijs Dallinga,4900,BOL
Mohamed Bayo,4900,LIL
Eduardo Camavinga,4900,RMA
Radoslaw Majecki,4900,MCO
Jordan Teze,4900,MCO
Arne Engels,4900,CEL
Samuel Iling-Junior,4800,BOL
Nicolas Kühn,4800,CEL
Philipp Köhn,4800,MCO
Tiago Santos,4800,LIL
Aleix García,4800,LEV
Yann Lienard,4800,MCO
Lucas Chevalier,4800,LIL
Nuno Santos,4800,SCP
Santiago Castro,4700,BOL
Vito Mannone,4700,LIL
Marc-Aurèle Caillard,4700,LIL
Alessandro Florenzi,4700,MIL
Gabriel Gudmundsson,4700,LIL
Dominik Szoboszlai,4700,LIV
Arda Güler,4700,RMA
Eliesse Ben Seghir,4700,MCO
Jens Odgaard,4700,BOL
Lukasz Skorupski,4600,BOL
Vanderson,4600,MCO
Jordi Paulina,4600,BVB
David Alaba,4600,RMA
James Forrest,4600,CEL
Nicolò Fagioli,4600,JUV
Youssouf Fofana,4600,MIL
Kyogo Furuhashi,4600,CEL
Federico Ravaglia,4500,BOL
Nicola Bagnolini,4500,BOL
Mattia Perin,4500,JUV
Kyle Walker,4500,MCI
Ramy Bensebaini,4500,BVB
Ismaël Bennacer,4500,MIL
Trincão,4500,SCP
George Ilenikhena,4500,MCO
Federico Valverde,4500,RMA
Hákon Haraldsson,4500,LIL
Carlo Pinsoglio,4400,JUV
Michele Di Gregorio,4400,JUV
Giovanni Daffara,4400,JUV
Akim Zedadka,4400,LIL
Jeremie Frimpong,4400,LEV
Conor Bradley,4400,LIV
Conrad Harder,4400,SCP
Adam Idah,4400,CEL
Jonas Hofmann,4400,LEV
Weston McKennie,4400,JUV
Tomi Horvat,4400,STU
Kasper Schmeichel,4300,CEL
Caio Henrique,4300,MCO
Davide Calabria,4300,MIL
Rico Lewis,4300,MCI
Geny Catamo,4300,SCP
Ranel Young,4300,LIV
Jacob Wright,4300,MCI
Arthur Vermeeren,4300,RBL
Denis Zakaria,4300,MCO
Scott Bain,4200,CEL
Viljami Sinisalo,4200,CEL
Joshua Clarke,4200,CEL
Farid Alfa-Ruprecht,4200,MCI
Ismaily,4200,LIL
Charalampos Lykogiannis,4200,BOL
Jarell Quansah,4200,LIV
Osame Sahraoui,4200,LIL
Tijjani Reijnders,4200,MIL
Maximiliano Araújo,4200,SCP
Ngal'ayel Mukau,4200,LIL
Chaka Traorè,4100,MIL
Afonso Moreira,4100,SCP
Franco Israel,4100,SCP
Éder Militão,4100,RMA
Wilfried Singo,4100,MCO
Andrea Cambiaso,4100,JUV
Nordi Mukiele,4100,LEV
Stefan Hierländer,4100,STU
Emre Can,4100,BVB
Morten Hjulmand,4100,SCP
Assan Ouédraogo,4100,RBL
Vladan Kovacevic,4000,SCP
Diogo Pinto,4000,SCP
Francisco Silva,4000,SCP
Diego Callai,4000,SCP
Matej Kovár,4000,LEV
Rúben Dias,4000,MCI
Chema Andres,4000,RMA
Samuel Mbangula,4000,JUV
Yang Hyun-Jun,4000,CEL
Julian Ryerson,4000,BVB
John Stones,4000,MCI
Robert Andrich,4000,LEV
Timothy Weah,4000,JUV
