displayName,salary,teamAbbreviation
Harry Kane,10300,BAY
Raphinha,10200,BAR
Michael Olise,9900,BAY
Robert Lewandowski,9800,BAR
Bukayo Saka,9600,ARS
Ferran Torres,9500,BAR
Dani Olmo,9400,BAR
Serge Gnabry,9300,BAY
Ansu Fati,9100,BAR
Ousmane Dembélé,9000,PSG
Thomas Müller,8800,BAY
Enzo Millot,8600,VFB
Joshua Kimmich,8400,BAY
Marco Asensio,8300,PSG
Mathys Tel,8200,BAY
Santiago Giménez,8100,FEY
Éderson,8100,ATA
Ángel Di María,8000,SLB
Leroy Sané,7900,BAY
Ademola Lookman,7900,ATA
Kingsley Coman,7800,BAY
Lamine Yamal,7800,BAR
Marko Arnautovic,7700,INT
Kai Havertz,7700,ARS
Nicolò Barella,7600,INT
Gonçalo Ramos,7600,PSG
Pedri,7500,BAR
Jamal Musiala,7500,BAY
Nestory Irankunda,7400,BAY
Lee Kang-In,7400,PSG
Antoine Griezmann,7300,ATL
Désiré Doué,7300,PSG
Matteo Ruggeri,7200,ATA
Joaquín Correa,7100,INT
Mikel Merino,7100,ARS
Gianluca Scamacca,7000,ATA
Samuel Lino,6900,ATL
Fabián Ruiz,6900,PSG
Raheem Sterling,6800,ARS
Igor Paixão,6800,FEY
Randal Kolo Muani,6700,PSG
Declan Rice,6700,ARS
Achraf Hakimi,6600,PSG
Calvin Stengs,6600,FEY
Lazar Samardzic,6600,ATA
Raoul Bellanova,6600,ATA
Marcus Thuram,6500,INT
Abdallah Sima,6500,BRS
Hakan Çalhanoglu,6500,INT
Chris Führich,6400,VFB
Anis Hadj Moussa,6400,FEY
Mehdi Taremi,6400,INT
Hwang In-Beom,6300,FEY
Ermedin Demirovic,6300,VFB
João Neves,6300,PSG
Maurits Kjærgaard,6200,RBS
Fermín López,6200,BAR
Oscar Gloukh,6200,RBS
Luka Ivanusec,6100,FEY
Veljko Birmancevic,6100,ACS
Lautaro Martínez,6100,INT
Ibrahim Mbaye,6000,PSG
Martin Ødegaard,6000,ARS
Federico Dimarco,6000,INT
Ángel Correa,5900,ATL
Guélor Kanga,5900,CZV
Pierre Lees-Melou,5900,BRS
Iñaki Peña,5900,BAR
Raphaël Guerreiro,5800,BAY
Lukás Haraslín,5800,ACS
Leandro Trossard,5800,ARS
Ander Astralaga,5800,BAR
Diego Kochen,5800,BAR
Wojciech Szczesny,5800,BAR
Marc-André ter Stegen,5800,BAR
Áron Yaakobishvili,5800,BAR
Orkun Kökçü,5800,SLB
Conor Gallagher,5800,ATL
Manuel Neuer,5800,BAY
