displayName,salary,teamAbbreviation
Dug McDaniel,9400,KSU
Great Osobor,8700,UW
BJ Freeman,8400,ASU
Darrion Williams,8200,TTU
JT Toppin,8100,TTU
Ty Johnson,8000,UCD
Coleman Hawkins,7900,KSU
Elijah Hawkins,7800,TTU
Dallin Hall,7700,BYU
Basheer Jihad,7600,ASU
Fousseyni Traore,7500,BYU
DJ Davis,7500,UW
Trae Broadnax,7400,RICE
Daniel Rouzan,7300,B-C
Egor Demin,7300,BYU
Luis Kortright,7200,UW
Kellen Amos,7200,RICE
Adam Miller,7100,ASU
Max Jones,7000,KSU
Achor Achor,7000,KSU
Dashon Gittens,6900,FIU
Reggie Ward Jr.,6800,B-C
C.J. Jones,6800,KSU
Jayden Quaintance,6700,ASU
Alston Mason,6700,ASU
Elias Cato,6700,CARK
Jonathan Aybar,6600,FIU
Joson Sanon,6600,ASU
Isaiah Griffin,6500,IDS
Trevin Knell,6500,BYU
Chance McMillian,6400,TTU
Richie Saunders,6300,BYU
Mekhi Mason,6300,UW
Federiko Federiko,6200,TTU
Gianni Hunt,6200,B-C
Franck Kepnang,6100,UW
Jamond Vincent,6100,UNO
Ubongabasi Etim,6000,CARK
Jayden Brewer,6000,FIU
Jah Short,5900,UNO
David Onanina,5800,B-C
Seneca Willoughby,5800,B-C
David N'Guessan,5800,KSU
Devan Cambridge,5700,TTU
Nils Cooper,5700,UCD
Niko Rocak,5600,UCD
Onyx Pastoriza,5600,FIU
Michael Evbagharu,5500,CARK
Shawn Phillips Jr.,5400,ASU
Tyler Harris,5400,UW
Kanon Catchings,5300,BYU
Alem Huseinovic,5300,RICE
Andrew Akuchie,5200,RICE
Quentin Meza,5200,IDS
Mawot Mag,5100,BYU
Caden Powell,5100,RICE
Chris Conway,5000,UW
Leo DeBruhl,5000,UCD
Keba Keita,4900,BYU
AJ Burgin,4900,IDS
Connor Hollenbeck,4800,IDS
Kerwin Walton,4800,TTU
Jimmy Oladokun Jr.,4700,RICE
Kevin Overton,4700,TTU
Kerwin Prince,4600,UNO
Trey Thomas,4500,B-C
Pablo Tamba,4500,UCD
Jesus Carralero Martin,4400,B-C
Javion Guy-King,4400,CARK
Emory Lanier,4400,RICE
Ugonna Onyenso,4300,KSU
Dawson Baker,4300,BYU
Jake O'Neil,4300,IDS
Dante Wilcox,4200,FIU
Tyree Ihenacho,4200,UW
Jackson Greene,4100,IDS
Austin Nunez,4100,ASU
Brendan Hausen,4100,KSU
Jaidon Lipscomb,4000,FIU
Jacob Dar,4000,RICE
Luke Davis,3900,UNO
Jalen Smith,3900,RICE
Okechukwu Okeke,3800,FIU
Antwann Jones,3800,B-C
Carl Daughtery Jr.,3800,UCD
Omarion Henry,3700,UNO
Blake Daberkow,3600,IDS
James White,3600,UNO
Elijah Crawford,3600,BYU
Amier Ali,3600,ASU
Francesco Borra,3500,UCD
Brayon Freeman,3500,B-C
George Pridgett Jr.,3500,FIU
Diogo Seixas,3500,CARK
Trey Patterson,3400,RICE
J.D. Roberts,3400,CARK
Cam Slaymaker,3400,IDS
Macaleab Rich,3400,KSU
Brody Kozlowski,3300,BYU
Eemeli Yalaho,3300,TTU
Jaden Grant,3300,FIU
Joey Madimba,3300,IDS
KC Ibekwe,3200,UW
Max Triplett,3200,BYU
Ben Fox,3200,CARK
Brycen Long,3200,ASU
JR Jacobs,3200,UNO
Jac Mani,3100,UCD
Wilhelm Breidenbach,3100,UW
Jabari West Jr.,3100,CARK
Cheikh Sow,3100,IDS
Covy Kelly,3100,IDS
David Castillo,3100,KSU
Evan Otten,3000,IDS
Christian King,3000,UW
Brandon Gardner,3000,ASU
Will Landram,3000,UW
George Perkins,3000,RICE
Corbin Green,3000,TTU
Townsend Tripple,3000,BYU
Ifeanyi Ufochukwu,3000,RICE
Jerome Beya,3000,B-C
Connor Braun,3000,ASU
Kalil Camara,3000,B-C
Jarrell Love,3000,B-C
Mihailo Boskovic,3000,BYU
Lukas Prongos,3000,UCD
Jamaal Unuakhalu,3000,UCD
Isaiah Chappell,3000,UCD
Olajuwon Ibrahim,3000,FIU
Vianney Salatchoum,3000,FIU
Justin Graham,3000,IDS
Jackson Sowards,3000,UNO
MJ Thomas,3000,UNO
Leland Coleman,3000,UNO
Nehemiah Turner,3000,CARK
Jaedyn Brown,3000,IDS
Marsalis Roberson,3000,UCD
Sam Slutske,3000,UW
Dylan Darling,3000,IDS
Cole Andrews-Heitz,3000,RICE
Simeon Womack,3000,B-C
Travis Gray,3000,FIU
Jordan Williams,3000,ASU
Renato Ruiz,3000,FIU
Bobby Hurley,3000,ASU
Jack Francis,3000,TTU
Jared McGregor,3000,BYU
Jackson Peakes,3000,RICE
Connor Sevilla,3000,UCD
Trey Stewart,3000,BYU
Sione Lose,3000,UCD
Quentin McCoy,3000,ASU
Chianti Clay,3000,ASU
Jacob Gilchrist,3000,UCD
Kole Williams,3000,FIU
Ashton Williamson,3000,FIU
Asim Jones,3000,FIU
Nick Ghetie,3000,IDS
Spencer Bain,3000,KSU
Mobi Ikegwuruka,3000,KSU
Grant Kemp,3000,UNO
Theo Grant,3000,UNO
Dae Dae Hunter,3000,UNO
Kohen Rowbatham,3000,UNO
Denver Anglin,3000,RICE
Aaron Powell,3000,RICE
Leon Horner,3000,TTU
Christian Anderson,3000,TTU
Jazz Henderson,3000,TTU
Jase Butler,3000,UW
Zoom Diallo,3000,UW
Dylan Mansour,3000,UW
Layne Taylor,3000,CARK
Ethan Thomas,3000,CARK
Connor Mancell,3000,CARK
Brayden Fagbemi,3000,CARK
Ty Robinson,3000,CARK
Owen Derhmann,3000,CARK
