displayName,salary,teamAbbreviation
Johni Broome,9500,AUB
Malik Mack,9400,GU
Ryan Kalkbrenner,9300,CRE
Dawson Garcia,9200,MINN
Jayden Epps,9100,GU
Geronimo Rubio De La Rosa,9000,COLM
Issac McBride,8900,ORR
Eric Dixon,8800,VU
Johnell Davis,8700,ARK
JP Pegues,8600,AUB
Oumar Ballo,8500,IU
Tyler Cochran,8400,MINN
Ray'Sean Taylor,8300,SIUE
Jacob Ognacevic,8200,LIPS
Wooga Poplar,8100,VU
Adou Thiero,8000,ARK
Mackenzie Mgbako,7900,IU
Jordan Sears,7700,LSU
Will Pruitt,7600,LIPS
Steven Ashworth,7500,CRE
Myles Rice,7400,IU
Blair Thompson,7300,COLM
Joe Anderson,7200,LIPS
Jamiya Neal,7200,CRE
Malik Reneau,7100,IU
Tyler Whitney-Sidney,7100,LEH
Lu'Cye Patterson,7000,MINN
Ileri Ayo-Faleye,7000,VER
Jhamir Brickus,7000,VU
Tyler Perkins,6900,VU
Pop Isaacs,6900,CRE
Jonas Aidoo,6900,ARK
Femi Odukale,6800,MINN
Jasin Sinani,6800,CAMP
Alex Karaban,6700,UCONN
Trey Galloway,6700,IU
Shamir Bogues,6700,VER
Jerry Ngopot,6600,ULM
Keith Higgins Jr.,6600,LEH
TJ Long,6600,VER
Chad Baker-Mazara,6600,AUB
Enoch Boakye,6500,VU
Tyreese Watson,6500,ULM
Cliff Davis,6500,UTRGV
Denver Jones,6500,AUB
Boogie Fland,6500,ARK
Karter Knox,6400,ARK
Cam Gregory,6400,CAMP
Aidan Mahaney,6400,UCONN
Thomas Sorber,6300,GU
Isaac McKneely,6300,UVA
Jalen Bolden,6300,ULM
Tarris Reed Jr.,6200,UCONN
Avery Brown,6200,COLM
DK Thorn,6200,UTRGV
Jalen Reed,6100,LSU
Miles Kelly,6100,AUB
Cam Carter,6100,LSU
Trevon Brazile,6000,ARK
Tyrell Ward,6000,LSU
Kellan Boylan,6000,LIPS
Dylan Cardwell,5900,AUB
D.J. Wagner,5900,ARK
Mike Mitchell Jr.,5900,MINN
Jordan Burks,5800,GU
Derek Fountain,5800,LSU
Aidan Carpenter,5800,SCH
Brian Taylor II,5800,SIUE
Micah Peavy,5800,GU
Jaylin Stewart,5700,UCONN
Kenny Noland,5700,COLM
Hassan Diarra,5700,UCONN
Trey Edmonds,5600,MINN
Jordan Longino,5600,VU
Drew Fielder,5500,GU
Kanaan Carlyle,5500,IU
Liam McNeeley,5500,UCONN
Makai Willis,5400,ULM
Jayden Fort,5400,GU
Dji Bailey,5400,LSU
Frank Mitchell,5300,MINN
Grant Asman,5300,LIPS
Mike Williams III,5300,LSU
Solo Ball,5300,UCONN
Nick Fiorillo,5200,VER
Chaney Johnson,5200,AUB
Bryson Tucker,5200,IU
Elijah Walsh,5200,CAMP
Tanner Thomas,5100,SCH
Jacob Wilson,5100,ULM
TJ Hurley,5100,VER
Zine Eddine Bedri,5000,COLM
Bryce Johnson,5000,SCH
Mason Miller,5000,CRE
Zvonimir Ivisic,5000,ARK
Arnas Sakenis,4900,SIUE
AD Diedhiou,4900,ULM
Sir Issac Herron,4900,ORR
Samson Johnson,4900,UCONN
Dai Dai Ames,4900,UVA
Gediminas Mokseckas,4900,CAMP
TJ Power,4900,UVA
Rylan Houck,4800,LIPS
Nolan Dorsey,4800,CAMP
Chase Martin,4800,ORR
Sam Alamutu,4800,VER
Kwo Agwa,4700,UTRGV
Josh Jones,4700,ORR
Parker Fox,4700,MINN
Jaden Cooper,4600,COLM
Cam Gillus,4600,LEH
Ring Malith,4600,SIUE
Jackson McAndrew,4500,CRE
Sam Alajiki,4400,ORR
Charlie Williams,4400,LIPS
K.T. Raimey,4400,UTRGV
Renars Sondors,4300,ULM
Tommy Gankhuyag,4300,UTRGV
Blake Buchanan,4300,UVA
Luke Goode,4300,IU
Caleb Zurliene,4300,CAMP
Ben Knostman,4300,LEH
Gyasi Powell,4300,LIPS
Josiah Moseley,4200,VU
Ja'Heim Hudson,4200,AUB
Desmond Polk,4200,SIUE
Nasir Whitlock,4200,LEH
Eric Van Der Heijden,4100,CAMP
Omar Harris,4100,CAMP
Jalen Miller,4100,ORR
Anthony Leal,4100,IU
Andrew Rohde,4100,UVA
Dylan Faulkner,4000,LIPS
Mekhi Conner,4000,SCH
Trey Miller,4000,UTRGV
Taine Murray,4000,UVA
Jake Tavroff,3900,COLM
Isaiah Barganier,3900,UTRGV
Langdon Hatton,3900,IU
Bube Momah,3900,LEH
Elijah Saunders,3900,UVA
Hasan Abdul-Hakim,3900,UTRGV
Tasos Cook,3900,CAMP
Jace Roquemore,3900,VER
Noah Robledo,3800,COLM
Chris Moore,3800,AUB
Peter Kramer,3800,LEH
Amiri Stewart,3800,SCH
Noah Boyde,3700,LSU
Myles Thompson,3700,SIUE
Brendan Reed,3700,LEH
Gabe Cupps,3700,IU
Jasen Green,3600,CRE
Raymond Espinal-Guzman,3600,SCH
Melo Sanchez,3600,ARK
Cham Okey,3600,SIUE
Caleb Williams,3000,GU
Jo Valrie,3500,SIUE
Noah Barnett,3500,VER
Seal Diouf,3500,GU
Robert Miller III,3500,LSU
Jordan Pickett,3500,SIUE
Elijah Gertrude,3500,UVA
Curtis Williams Jr,3500,GU
Tahaad Pettiford,3500,AUB
Julius Halaifonua,3400,GU
Joshua Ingram,3400,LEH
Brennan Rigsby,3400,MINN
Edouard Benoit,3300,LEH
Darrion Baker,3300,SIUE
Nnanna Njoku,3300,VU
Jayden Ross,3200,UCONN
Fredrick King,3200,CRE
Colby Duggan,3200,CAMP
Coltie Young,3200,ULM
Kayvaun Mulready,3200,GU
Keyishon Miller,3200,SCH
Hank Alvey,3100,LEH
Mathok Majok,3100,ORR
Kadyn Betts,3100,MINN
Isaac Traudt,3100,CRE
Isaiah Abraham,3100,UCONN
Jaylen Washington,3100,UTRGV
Howie Fleming Jr.,3100,UTRGV
Declan Dillon,3100,SIUE
Kris Parker,3100,VU
Presley Patterson,3100,AUB
Griffin Barrouk,3100,SCH
Ty Davis,3100,CRE
Jakai Newton,3100,IU
Ishan Sharma,3100,UVA
Mason Ritter,3000,COLM
Alfredo Addesa,3000,LEH
Marshal Destremau,3000,UTRGV
Richard Nweke,3000,COLM
Wesley Johnson,3000,CAMP
Josh Townley-Thomas,3000,CRE
Anthony Robinson,3000,UVA
Lawson Blake,3000,ARK
Jordann Dumont,3000,VU
Israel Yaw,3000,CAMP
Jake Pike,3000,LEH
Tommy Conniff,3000,LEH
Corey Chest,3000,LSU
Daimion Collins,3000,LSU
Erick Reader,3000,MINN
Henri Adiassa,3000,LEH
Arop Arop,3000,COLM
Jackson Skipper,3000,ORR
Robbie Stankard,3000,COLM
Austin Montgomery,3000,GU
Braeden Moore,3000,ORR
Addarin Scott,3000,AUB
Seth Joba,3000,VER
Shy Odom,3000,VER
Kyle Thomas,3000,SIUE
Youssouf Singare,3000,UCONN
Dallas James,3000,IU
Carter Lang,3000,UVA
Terren Frank,3000,CAMP
Carlos Rosario,3000,ORR
Billy Richmond III,3000,ARK
Jahki Howard,3000,AUB
Nigel Clarkson,3000,COLM
Drew McKenna,3000,GU
Trey'Dez Green,3000,LSU
Grayson Grove,3000,MINN
Lincoln Meister,3000,MINN
Luke Gray,3000,ORR
Mustafo Vanjov,3000,UTRGV
Drew Bessette,3000,VER
Malcolm Thomas,3000,VU
Matthew Hodge,3000,VU
Jacob Cofie,3000,UVA
Lucius Gibson-Savadel,3000,SCH
Anquan Hill,3000,SCH
Gianni Cobb,3000,COLM
Micah Caster,3000,ULM
EJ Avelar,3000,UTRGV
Sean Blake,3000,VER
Fallou Gueye,3000,SCH
Jordan Hamilton,3000,SIUE
Jordan Rayford,3000,IU
Seth Kruse,3000,ORR
Zach Lamey,3000,LIPS
Logan Suber,3000,LIPS
CJ Williams,3000,AUB
Reed Trapp,3000,AUB
Jack Ingold,3000,LIPS
Daniel Vessey,3000,COLM
Sami Osmani,3000,CRE
Shane Thomas,3000,CRE
Sterling Knox,3000,CRE
Hashem Asadallah,3000,GU
James Goodis,3000,IU
Shaan Burke,3000,IU
Christian Bliss,3000,UVA
Ian Stephens,3000,IU
Ajay Tew,3000,ULM
Desmond Roberts,3000,UVA
Jackson Creel,3000,IU
Devon Hancock,3000,ULM
Pablo Navarro,3000,ORR
Ross Candelino,3000,LIPS
Trace Young,3000,LSU
Fadi Mougharbel,3000,UTRGV
Bryce Walker,3000,UVA
Kelton Williams,3000,ULM
Gavin Perryman,3000,VER
Collin O'Toole,3000,VU
Kareem Watkins,3000,ARK
Adam Benhayoune,3000,LSU
Bragi Gudmundsson,3000,CAMP
Blake Muschalek,3000,AUB
P.D. McCraney,3000,ULM
Nicolo Romanelli,3000,COLM
Eddiean Tirado,3000,SIUE
J.J. Howard,3000,UTRGV
Broc Bidwell,3000,CAMP
Ayden Kelley,3000,ARK
Jaden Karuletwa,3000,ARK
Casmir Chavis,3000,ARK
Drake Cardwell,3000,AUB
Joah Shay,3000,AUB
Jacob Lawton,3000,CAMP
Gerard O'Keefe,3000,COLM
Josiah Cunningham,3000,COLM
Souleymane Diaby,3000,UCONN
Ahmad Nowell,3000,UCONN
Fedor Zugic,3000,CRE
Larry Johnson,3000,CRE
Michael Van Raaphorst,3000,GU
Mason Moses,3000,GU
Jaden Bobbett,3000,IU
Vyctorius Miller,3000,LSU
Curtis Givens III,3000,LSU
Isaac Asuma,3000,MINN
Max Sheridan,3000,MINN
Ta'Zir Smith,3000,ULM
Nevin Ibroci,3000,ORR
Naim Ibroci,3000,ORR
JoJo Moore,3000,ORR
Darius Robinson Jr.,3000,ORR
Justin Mitchell,3000,UTRGV
RJ Nance,3000,UTRGV
Ben Wesson,3000,VER
Sincere Clemons,3000,VER
Wade Chiddick,3000,VU
Aleksandar Gavalyugov,3000,VU
Nyle Ralph-Beyer,3000,SCH
Taj Bryant,3000,SCH
Malik Sheppard,3000,SCH
Jaden Slaughter,3000,SCH
Miles White,3000,LIPS
Luke Carter,3000,LIPS
