displayName,salary,teamAbbreviation
Johni Broome,10800,AUB
JP Pegues,10000,AUB
Ileri Ayo-Faleye,8600,VER
Shamir Bogues,8200,VER
Chad Baker-Mazara,7800,AUB
TJ Long,7600,VER
Denver Jones,7200,AUB
Miles Kelly,6800,AUB
Dylan Cardwell,6400,AUB
Chaney Johnson,5800,AUB
Nick Fiorillo,5600,VER
TJ Hurley,5400,VER
Sam Alamutu,4800,VER
Ja'Heim Hudson,4000,AUB
Jace Roquemore,3600,VER
Chris Moore,3000,AUB
Tahaad Pettiford,2400,AUB
Noah Barnett,2000,VER
Presley Patterson,1400,AUB
Joah Shay,1000,AUB
Jahki Howard,1000,AUB
Gavin Perryman,1000,VER
Sean Blake,1000,VER
Blake Muschalek,1000,AUB
Ben Wesson,1000,VER
Seth Joba,1000,VER
Shy Odom,1000,VER
CJ Williams,1000,AUB
Drew Bessette,1000,VER
Reed Trapp,1000,AUB
Addarin Scott,1000,AUB
Sincere Clemons,1000,VER
Drake Cardwell,1000,AUB
