DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
35795908,River Cracraft,WR,MIA,BUF,Q,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795907,Erik Ezukanma,WR,MIA,BUF,,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795906,Tahj Washington,WR,MIA,BUF,O,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795917,Anthony Schwartz,WR,MIA,BUF,O,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795909,Tyrell Shavers,WR,BUF,MIA,,200,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795878,Mike White,QB,BUF,MIA,,6000,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795903,Frank Gore Jr.,RB,BUF,MIA,,200,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795902,Deneric Prince,RB,MIA,BUF,,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795913,KJ Hamler,WR,BUF,MIA,,200,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795905,Dee Eskridge,WR,MIA,BUF,,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
